codice_proiezione,data_ora_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto
PRO001922,2020-02-29 17:00:00,Dancer in the Dark,Crime,Lars von Trier,2000,140,0,8.50
PRO001923,2020-02-29 20:00:00,Kagemusha,Drama,Akira Kurosawa,1980,180,0,9.00
PRO001924,2020-03-01 10:30:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,7.50
PRO001925,2020-03-01 13:00:00,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,6.50
PRO001926,2020-03-01 16:00:00,Once Upon a Time... in Hollywood,Comedy,Quentin Tarantino,2019,161,12,7.00
PRO001927,2020-03-01 19:30:00,A Bronx Tale,Crime,Robert De Niro,1993,121,16,10.00
PRO001928,2020-03-02 10:00:00,Crimes and Misdemeanors,Comedy,Woody Allen,1989,104,12,8.50
PRO001929,2020-03-02 12:30:00,Crimes and Misdemeanors,Comedy,Woody Allen,1989,104,12,8.00
PRO001930,2020-03-02 15:00:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,8.00
PRO001931,2020-03-03 10:00:00,Vivre sa vie: Film en douze tableaux,Drama,Jean-Luc Godard,1962,80,12,7.00
PRO001932,2020-03-03 12:00:00,A Clockwork Orange,Crime,Stanley Kubrick,1971,136,12,7.50
PRO001933,2020-03-04 10:00:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.50
PRO001934,2020-03-04 13:00:00,JFK,Drama,Oliver Stone,1991,189,12,8.00
PRO001935,2020-03-05 10:30:00,Braveheart,Biography,Mel Gibson,1995,178,12,8.00
PRO001936,2020-03-06 10:00:00,La battaglia di Algeri,Drama,Gillo Pontecorvo,1966,121,12,6.50
PRO001937,2020-03-06 13:00:00,JFK,Drama,Oliver Stone,1991,189,12,7.00
PRO001938,2020-03-06 17:00:00,The Lion in Winter,Biography,Anthony Harvey,1968,134,6,7.50
PRO001939,2020-03-07 10:00:00,Batoru rowaiaru,Action,Kinji Fukasaku,2000,114,12,7.50
PRO001940,2020-03-07 13:00:00,Festen,Drama,Thomas Vinterberg,1998,105,16,7.00
PRO001941,2020-03-07 15:30:00,La battaglia di Algeri,Drama,Gillo Pontecorvo,1966,121,12,6.50
PRO001942,2020-03-08 10:30:00,L.A. Confidential,Crime,Curtis Hanson,1997,138,12,7.00
PRO001943,2020-03-08 13:30:00,JFK,Drama,Oliver Stone,1991,189,12,6.50
PRO001944,2020-03-08 17:30:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,8.00
PRO001945,2020-03-08 20:00:00,La battaglia di Algeri,Drama,Gillo Pontecorvo,1966,121,12,8.50
PRO001946,2020-03-09 10:30:00,Kagemusha,Drama,Akira Kurosawa,1980,180,0,7.00
PRO001947,2020-03-09 14:30:00,The Shop Around the Corner,Comedy,Ernst Lubitsch,1940,99,12,8.50
PRO001948,2020-03-09 17:00:00,Manbiki kazoku,Crime,Hirokazu Koreeda,2018,121,12,6.50
PRO001949,2020-03-10 10:30:00,The Sixth Sense,Drama,M. Night Shyamalan,1999,107,12,7.00
PRO001950,2020-03-10 13:00:00,JFK,Drama,Oliver Stone,1991,189,12,6.50
PRO001951,2020-03-10 17:00:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,8.00
PRO001952,2020-03-11 10:30:00,Kurenai no buta,Animation,Hayao Miyazaki,1992,94,0,7.50
PRO001953,2020-03-11 13:00:00,Blade Runner,Action,Ridley Scott,1982,117,12,7.50
PRO001954,2020-03-11 16:00:00,L.A. Confidential,Crime,Curtis Hanson,1997,138,12,7.50
PRO001955,2020-03-12 10:30:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,7.00
PRO001956,2020-03-12 13:00:00,JFK,Drama,Oliver Stone,1991,189,12,8.00
PRO001957,2020-03-12 17:00:00,La battaglia di Algeri,Drama,Gillo Pontecorvo,1966,121,12,6.50
PRO001958,2020-03-13 10:00:00,Batoru rowaiaru,Action,Kinji Fukasaku,2000,114,12,7.50
PRO001959,2020-03-13 13:00:00,Blade Runner,Action,Ridley Scott,1982,117,12,7.50
PRO001960,2020-03-14 10:30:00,Blade Runner,Action,Ridley Scott,1982,117,12,7.50
PRO001961,2020-03-14 13:30:00,Festen,Drama,Thomas Vinterberg,1998,105,16,7.50
PRO001962,2020-03-14 16:00:00,Sling Blade,Drama,Billy Bob Thornton,1996,135,16,8.00
PRO001963,2020-03-15 10:30:00,The Adventures of Robin Hood,Action,Michael Curtiz,1938,102,6,7.00
PRO001964,2020-03-15 13:00:00,La battaglia di Algeri,Drama,Gillo Pontecorvo,1966,121,12,6.50
PRO001965,2020-03-15 16:00:00,Festen,Drama,Thomas Vinterberg,1998,105,16,7.00
PRO001966,2020-03-15 18:30:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,9.50
PRO001967,2020-03-16 10:00:00,White Heat,Action,Raoul Walsh,1949,114,12,8.00
PRO001968,2020-03-17 10:00:00,Groundhog Day,Comedy,Harold Ramis,1993,101,0,8.00
PRO001969,2020-03-17 12:30:00,Sling Blade,Drama,Billy Bob Thornton,1996,135,16,7.50
PRO001970,2020-03-17 15:30:00,The Shop Around the Corner,Comedy,Ernst Lubitsch,1940,99,12,7.00
PRO001971,2020-03-18 10:00:00,Sling Blade,Drama,Billy Bob Thornton,1996,135,16,7.00
PRO001972,2020-03-18 13:00:00,Festen,Drama,Thomas Vinterberg,1998,105,16,7.50
PRO001973,2020-03-18 15:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.50
PRO001974,2020-03-19 10:30:00,The Lion in Winter,Biography,Anthony Harvey,1968,134,6,7.50
PRO001975,2020-03-19 13:30:00,White Heat,Action,Raoul Walsh,1949,114,12,6.50
PRO001976,2020-03-20 10:30:00,A Bronx Tale,Crime,Robert De Niro,1993,121,16,8.00
PRO001977,2020-03-21 10:30:00,JFK,Drama,Oliver Stone,1991,189,12,8.00
PRO001978,2020-03-21 14:30:00,Sling Blade,Drama,Billy Bob Thornton,1996,135,16,8.00
PRO001979,2020-03-21 17:30:00,White Heat,Action,Raoul Walsh,1949,114,12,8.50
PRO001980,2020-03-21 20:00:00,Groundhog Day,Comedy,Harold Ramis,1993,101,0,10.00
PRO001981,2020-03-22 10:00:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,8.00
PRO001982,2020-03-22 12:30:00,Blade Runner,Action,Ridley Scott,1982,117,12,7.00
PRO001983,2020-03-22 15:00:00,Glengarry Glen Ross,Crime,James Foley,1992,100,16,8.50
PRO001984,2020-03-23 10:30:00,Batoru rowaiaru,Action,Kinji Fukasaku,2000,114,12,8.50
PRO001985,2020-03-23 13:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.50
PRO001986,2020-03-24 10:00:00,Kagemusha,Drama,Akira Kurosawa,1980,180,0,6.50
PRO001987,2020-03-24 14:00:00,JFK,Drama,Oliver Stone,1991,189,12,8.00
PRO001988,2020-03-24 18:00:00,The Sixth Sense,Drama,M. Night Shyamalan,1999,107,12,10.00
PRO001989,2020-03-25 10:30:00,The Sixth Sense,Drama,M. Night Shyamalan,1999,107,12,8.50
PRO001990,2020-03-25 13:00:00,Stagecoach,Adventure,John Ford,1939,96,12,7.50
PRO001991,2020-03-25 15:30:00,Sling Blade,Drama,Billy Bob Thornton,1996,135,16,7.00
PRO001992,2020-03-26 10:30:00,The Shop Around the Corner,Comedy,Ernst Lubitsch,1940,99,12,8.50
PRO001993,2020-03-26 13:00:00,Toy Story,Animation,John Lasseter,1995,81,0,8.00
PRO001994,2020-03-27 10:00:00,White Heat,Action,Raoul Walsh,1949,114,12,7.00
PRO001995,2020-03-28 10:00:00,JFK,Drama,Oliver Stone,1991,189,12,8.00
PRO001996,2020-03-28 14:00:00,The Lion in Winter,Biography,Anthony Harvey,1968,134,6,8.00
PRO001997,2020-03-28 17:00:00,Blade Runner,Action,Ridley Scott,1982,117,12,7.00
PRO001998,2020-03-28 19:30:00,The Sixth Sense,Drama,M. Night Shyamalan,1999,107,12,9.50
PRO001999,2020-03-29 10:30:00,Blade Runner,Action,Ridley Scott,1982,117,12,8.50
PRO002000,2020-03-29 13:00:00,Crimes and Misdemeanors,Comedy,Woody Allen,1989,104,12,7.00
PRO002001,2020-03-29 15:30:00,Annie Hall,Comedy,Woody Allen,1977,93,12,8.00
PRO002002,2020-03-29 18:00:00,Festen,Drama,Thomas Vinterberg,1998,105,16,10.00
PRO002003,2020-03-30 10:30:00,La vita è bella,Comedy,Roberto Benigni,1997,116,0,7.00
PRO002004,2020-03-31 10:00:00,Sling Blade,Drama,Billy Bob Thornton,1996,135,16,6.50
PRO002005,2020-03-31 13:00:00,Freaks,Drama,Tod Browning,1932,64,12,8.00
PRO002006,2020-03-31 15:00:00,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,6.50
PRO002007,2020-04-01 10:00:00,Stagecoach,Adventure,John Ford,1939,96,12,6.50
PRO002008,2020-04-02 10:30:00,The Lion in Winter,Biography,Anthony Harvey,1968,134,6,7.00
PRO002009,2020-04-02 13:30:00,Freaks,Drama,Tod Browning,1932,64,12,6.50
PRO002010,2020-04-03 10:00:00,The Man Who Shot Liberty Valance,Drama,John Ford,1962,123,12,8.00
PRO002011,2020-04-03 13:00:00,JFK,Drama,Oliver Stone,1991,189,12,8.00
PRO002012,2020-04-03 17:00:00,JFK,Drama,Oliver Stone,1991,189,12,6.50
PRO002013,2020-04-04 10:00:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,7.50
PRO002014,2020-04-04 13:00:00,Solaris,Drama,Andrei Tarkovsky,1972,167,6,6.50
PRO002015,2020-04-04 16:30:00,White Heat,Action,Raoul Walsh,1949,114,12,7.50
PRO002016,2020-04-04 19:30:00,The Ten Commandments,Adventure,Cecil B. DeMille,1956,220,0,10.00
PRO002017,2020-04-05 10:30:00,The French Connection,Action,William Friedkin,1971,104,12,6.50
PRO002018,2020-04-05 13:00:00,Trois couleurs: Rouge,Drama,Krzysztof Kieslowski,1994,99,0,6.50
PRO002019,2020-04-05 15:30:00,Batoru rowaiaru,Action,Kinji Fukasaku,2000,114,12,7.00
PRO002020,2020-04-05 18:30:00,Home Alone,Comedy,Chris Columbus,1990,103,0,9.50
PRO002021,2020-04-06 10:00:00,Festen,Drama,Thomas Vinterberg,1998,105,16,8.50
PRO002022,2020-04-06 12:30:00,Annie Hall,Comedy,Woody Allen,1977,93,12,7.00
PRO002023,2020-04-07 10:00:00,Festen,Drama,Thomas Vinterberg,1998,105,16,8.50
PRO002024,2020-04-08 10:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,8.00
PRO002025,2020-04-09 10:00:00,Amarcord,Comedy,Federico Fellini,1973,123,16,7.00
PRO002026,2020-04-09 13:00:00,Metropolis,Drama,Fritz Lang,1927,153,12,8.50
PRO002027,2020-04-09 16:30:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,7.00
PRO002028,2020-04-10 10:30:00,Amarcord,Comedy,Federico Fellini,1973,123,16,8.00
PRO002029,2020-04-10 13:30:00,Metropolis,Drama,Fritz Lang,1927,153,12,7.50
PRO002030,2020-04-10 17:00:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,7.50
PRO002031,2020-04-11 10:30:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,6.50
PRO002032,2020-04-11 13:00:00,Dead Man,Adventure,Jim Jarmusch,1995,121,16,7.50
PRO002033,2020-04-11 16:00:00,Annie Hall,Comedy,Woody Allen,1977,93,12,7.50
PRO002034,2020-04-12 10:00:00,Rupan sansei: Kariosutoro no shiro,Animation,Hayao Miyazaki,1979,100,0,7.00
PRO002035,2020-04-12 12:30:00,Batoru rowaiaru,Action,Kinji Fukasaku,2000,114,12,8.50
PRO002036,2020-04-12 15:30:00,The Man Who Shot Liberty Valance,Drama,John Ford,1962,123,12,6.50
PRO002037,2020-04-12 18:30:00,Blade Runner,Action,Ridley Scott,1982,117,12,8.50
PRO002038,2020-04-13 10:30:00,Manbiki kazoku,Crime,Hirokazu Koreeda,2018,121,12,8.50
PRO002039,2020-04-13 13:30:00,The French Connection,Action,William Friedkin,1971,104,12,7.50
PRO002040,2020-04-14 10:00:00,Kagemusha,Drama,Akira Kurosawa,1980,180,0,8.50
PRO002041,2020-04-15 10:30:00,The Ten Commandments,Adventure,Cecil B. DeMille,1956,220,0,7.00
PRO002042,2020-04-15 15:00:00,Crimes and Misdemeanors,Comedy,Woody Allen,1989,104,12,8.50
PRO002043,2020-04-15 17:30:00,Dead Man,Adventure,Jim Jarmusch,1995,121,16,8.50
PRO002044,2020-04-16 10:30:00,Dead Man,Adventure,Jim Jarmusch,1995,121,16,8.50
PRO002045,2020-04-16 13:30:00,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,6.50
PRO002046,2020-04-17 10:30:00,Blade Runner,Action,Ridley Scott,1982,117,12,7.50
PRO002047,2020-04-18 10:00:00,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,8.50
PRO002048,2020-04-18 13:00:00,Home Alone,Comedy,Chris Columbus,1990,103,0,6.50
PRO002049,2020-04-18 15:30:00,Freaks,Drama,Tod Browning,1932,64,12,8.50
PRO002050,2020-04-18 17:30:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,7.00
PRO002051,2020-04-19 10:00:00,The French Connection,Action,William Friedkin,1971,104,12,7.00
PRO002052,2020-04-19 12:30:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,8.50
PRO002053,2020-04-19 15:00:00,The Man Who Shot Liberty Valance,Drama,John Ford,1962,123,12,8.00
PRO002054,2020-04-19 18:00:00,Metropolis,Drama,Fritz Lang,1927,153,12,10.00
PRO002055,2020-04-20 10:30:00,Crimes and Misdemeanors,Comedy,Woody Allen,1989,104,12,8.50
PRO002056,2020-04-20 13:00:00,JFK,Drama,Oliver Stone,1991,189,12,7.50
PRO002057,2020-04-20 17:00:00,Festen,Drama,Thomas Vinterberg,1998,105,16,6.50
PRO002058,2020-04-21 10:30:00,The Man Who Shot Liberty Valance,Drama,John Ford,1962,123,12,7.50
PRO002059,2020-04-21 13:30:00,Freaks,Drama,Tod Browning,1932,64,12,7.00
PRO002060,2020-04-21 15:30:00,Stagecoach,Adventure,John Ford,1939,96,12,8.00
PRO002061,2020-04-22 10:30:00,Manbiki kazoku,Crime,Hirokazu Koreeda,2018,121,12,7.50
PRO002062,2020-04-23 10:30:00,Die Hard: With a Vengeance,Action,John McTiernan,1995,128,12,7.50
PRO002063,2020-04-23 13:30:00,Solaris,Drama,Andrei Tarkovsky,1972,167,6,6.50
PRO002064,2020-04-24 10:00:00,Rupan sansei: Kariosutoro no shiro,Animation,Hayao Miyazaki,1979,100,0,7.50
PRO002065,2020-04-25 10:00:00,Freaks,Drama,Tod Browning,1932,64,12,8.50
PRO002066,2020-04-25 12:00:00,Toy Story,Animation,John Lasseter,1995,81,0,7.00
PRO002067,2020-04-25 14:30:00,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,6.50
PRO002068,2020-04-25 17:30:00,"O Brother, Where Art Thou?",Adventure,Joel Coen,2000,107,0,8.50
PRO002069,2020-04-26 10:00:00,Home Alone,Comedy,Chris Columbus,1990,103,0,8.00
PRO002070,2020-04-26 12:30:00,The Man Who Shot Liberty Valance,Drama,John Ford,1962,123,12,6.50
PRO002071,2020-04-26 15:30:00,Breaking the Waves,Drama,Lars von Trier,1996,159,16,7.00
PRO002072,2020-04-27 10:00:00,Die Hard: With a Vengeance,Action,John McTiernan,1995,128,12,6.50
PRO002073,2020-04-27 13:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,7.50
PRO002074,2020-04-27 16:00:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,8.00
PRO002075,2020-04-28 10:30:00,Festen,Drama,Thomas Vinterberg,1998,105,16,8.50
PRO002076,2020-04-29 10:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,8.00
PRO002077,2020-04-30 10:00:00,Die Hard: With a Vengeance,Action,John McTiernan,1995,128,12,7.00
PRO002078,2020-04-30 13:00:00,Breaking the Waves,Drama,Lars von Trier,1996,159,16,7.50
PRO002079,2020-05-01 10:30:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,8.50
PRO002080,2020-05-01 13:00:00,Freaks,Drama,Tod Browning,1932,64,12,8.00
PRO002081,2020-05-01 15:00:00,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,8.00
PRO002082,2020-05-02 10:00:00,"O Brother, Where Art Thou?",Adventure,Joel Coen,2000,107,0,7.50
PRO002083,2020-05-02 12:30:00,"O Brother, Where Art Thou?",Adventure,Joel Coen,2000,107,0,7.50
PRO002084,2020-05-02 15:30:00,Home Alone,Comedy,Chris Columbus,1990,103,0,8.50
PRO002085,2020-05-03 10:30:00,Annie Hall,Comedy,Woody Allen,1977,93,12,6.50
PRO002086,2020-05-03 13:00:00,Rupan sansei: Kariosutoro no shiro,Animation,Hayao Miyazaki,1979,100,0,8.50
PRO002087,2020-05-03 15:30:00,Metropolis,Drama,Fritz Lang,1927,153,12,7.00
PRO002088,2020-05-04 10:00:00,Die Hard: With a Vengeance,Action,John McTiernan,1995,128,12,7.50
PRO002089,2020-05-05 10:30:00,Home Alone,Comedy,Chris Columbus,1990,103,0,7.50
PRO002090,2020-05-05 13:00:00,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,8.00
PRO002091,2020-05-06 10:30:00,Fanny och Alexander,Drama,Ingmar Bergman,1982,188,12,6.50
PRO002092,2020-05-07 10:00:00,Crimes and Misdemeanors,Comedy,Woody Allen,1989,104,12,6.50
PRO002093,2020-05-07 12:30:00,The Ten Commandments,Adventure,Cecil B. DeMille,1956,220,0,7.00
PRO002094,2020-05-08 10:30:00,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,6.50
PRO002095,2020-05-08 13:30:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,8.50
PRO002096,2020-05-09 10:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,8.50
PRO002097,2020-05-09 13:00:00,Die Hard: With a Vengeance,Action,John McTiernan,1995,128,12,8.00
PRO002098,2020-05-09 16:00:00,Modern Times,Comedy,Charles Chaplin,1936,87,0,8.50
PRO002099,2020-05-09 18:00:00,Freaks,Drama,Tod Browning,1932,64,12,9.50
PRO002100,2020-05-10 10:00:00,Sanjuro,Action,Akira Kurosawa,1962,96,0,8.50
PRO002101,2020-05-10 12:30:00,Metropolis,Drama,Fritz Lang,1927,153,12,8.50
PRO002102,2020-05-10 16:00:00,Titanic,Drama,James Cameron,1997,194,12,7.00
PRO002103,2020-05-10 20:00:00,The Invisible Man,Horror,James Whale,1933,71,12,8.50
PRO002104,2020-05-11 10:00:00,Sanjuro,Action,Akira Kurosawa,1962,96,0,8.00
PRO002105,2020-05-12 10:30:00,Fanny och Alexander,Drama,Ingmar Bergman,1982,188,12,8.00
PRO002106,2020-05-13 10:30:00,Ferris Bueller's Day Off,Comedy,John Hughes,1986,103,0,8.00
PRO002107,2020-05-13 13:00:00,Who Framed Roger Rabbit,Animation,Robert Zemeckis,1988,104,0,7.50
PRO002108,2020-05-13 15:30:00,Modern Times,Comedy,Charles Chaplin,1936,87,0,8.50
PRO002109,2020-05-14 10:30:00,Dil Bechara,Comedy,Mukesh Chhabra,2020,101,12,8.50
PRO002110,2020-05-14 13:00:00,American History X,Drama,Tony Kaye,1998,119,16,7.00
PRO002111,2020-05-14 16:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,6.50
PRO002112,2020-05-15 10:30:00,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,7.50
PRO002113,2020-05-15 13:00:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,8.00
PRO002114,2020-05-16 10:00:00,Dil Bechara,Comedy,Mukesh Chhabra,2020,101,12,7.50
PRO002115,2020-05-16 12:30:00,Le dîner de cons,Comedy,Francis Veber,1998,80,12,8.00
PRO002116,2020-05-16 14:30:00,Young Frankenstein,Comedy,Mel Brooks,1974,106,12,8.00
PRO002117,2020-05-17 10:00:00,Breaking the Waves,Drama,Lars von Trier,1996,159,16,7.50
PRO002118,2020-05-17 13:30:00,American History X,Drama,Tony Kaye,1998,119,16,7.00
PRO002119,2020-05-17 16:30:00,La règle du jeu,Comedy,Jean Renoir,1939,110,12,7.00
PRO002120,2020-05-18 10:00:00,The French Connection,Action,William Friedkin,1971,104,12,7.00
PRO002121,2020-05-19 10:00:00,Breaking the Waves,Drama,Lars von Trier,1996,159,16,8.50
PRO002122,2020-05-19 13:30:00,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,7.50
PRO002123,2020-05-19 16:00:00,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,6.50
PRO002124,2020-05-20 10:30:00,Breaking the Waves,Drama,Lars von Trier,1996,159,16,8.50
PRO002125,2020-05-20 14:00:00,Ferris Bueller's Day Off,Comedy,John Hughes,1986,103,0,8.50
PRO002126,2020-05-21 10:00:00,The Ten Commandments,Adventure,Cecil B. DeMille,1956,220,0,8.50
PRO002127,2020-05-21 14:30:00,Hera Pheri,Action,Priyadarshan,2000,156,0,8.50
PRO002128,2020-05-21 18:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,9.50
PRO002129,2020-05-22 10:30:00,Double Indemnity,Crime,Billy Wilder,1944,107,12,7.00
PRO002130,2020-05-22 13:00:00,Sanjuro,Action,Akira Kurosawa,1962,96,0,8.00
PRO002131,2020-05-23 10:30:00,Hera Pheri,Action,Priyadarshan,2000,156,0,8.50
PRO002132,2020-05-23 14:00:00,Der Name der Rose,Crime,Jean-Jacques Annaud,1986,130,16,8.00
PRO002133,2020-05-23 17:00:00,Titanic,Drama,James Cameron,1997,194,12,8.50
PRO002134,2020-05-24 10:30:00,Portrait de la jeune fille en feu,Drama,Céline Sciamma,2019,122,16,6.50
PRO002135,2020-05-24 13:30:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,7.50
PRO002136,2020-05-24 16:30:00,Modern Times,Comedy,Charles Chaplin,1936,87,0,7.50
PRO002137,2020-05-24 19:00:00,Fanny och Alexander,Drama,Ingmar Bergman,1982,188,12,8.50
PRO002138,2020-05-25 10:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,8.50
PRO002139,2020-05-26 10:00:00,American History X,Drama,Tony Kaye,1998,119,16,8.00
PRO002140,2020-05-26 12:30:00,Ferris Bueller's Day Off,Comedy,John Hughes,1986,103,0,7.00
PRO002141,2020-05-26 15:00:00,Titanic,Drama,James Cameron,1997,194,12,8.00
PRO002142,2020-05-27 10:30:00,Arsenic and Old Lace,Comedy,Frank Capra,1942,118,12,8.00
PRO002143,2020-05-27 13:30:00,City Lights,Comedy,Charles Chaplin,1931,87,0,6.50
PRO002144,2020-05-27 16:00:00,American History X,Drama,Tony Kaye,1998,119,16,7.00
PRO002145,2020-05-28 10:30:00,Ferris Bueller's Day Off,Comedy,John Hughes,1986,103,0,7.00
PRO002146,2020-05-29 10:30:00,Fanny och Alexander,Drama,Ingmar Bergman,1982,188,12,8.00
PRO002147,2020-05-29 14:30:00,Sanjuro,Action,Akira Kurosawa,1962,96,0,8.50
PRO002148,2020-05-29 17:00:00,Portrait de la jeune fille en feu,Drama,Céline Sciamma,2019,122,16,7.50
PRO002149,2020-05-30 10:30:00,Andhadhun,Crime,Sriram Raghavan,2018,139,12,7.00
PRO002150,2020-05-30 13:30:00,The Thin Red Line,Drama,Terrence Malick,1998,170,12,7.50
PRO002151,2020-05-30 17:00:00,Who Framed Roger Rabbit,Animation,Robert Zemeckis,1988,104,0,7.50
PRO002152,2020-05-31 10:30:00,"O Brother, Where Art Thou?",Adventure,Joel Coen,2000,107,0,7.50
PRO002153,2020-05-31 13:00:00,The Matrix,Action,Lana Wachowski,1999,136,12,6.50
PRO002154,2020-05-31 16:00:00,"O Brother, Where Art Thou?",Adventure,Joel Coen,2000,107,0,7.00
PRO002155,2020-06-01 10:00:00,Ed Wood,Biography,Tim Burton,1994,127,0,6.50
PRO002156,2020-06-01 13:00:00,Hera Pheri,Action,Priyadarshan,2000,156,0,7.00
PRO002157,2020-06-02 10:00:00,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,6.50
PRO002158,2020-06-03 10:00:00,The Matrix,Action,Lana Wachowski,1999,136,12,8.50
PRO002159,2020-06-03 13:00:00,Who Framed Roger Rabbit,Animation,Robert Zemeckis,1988,104,0,6.50
PRO002160,2020-06-03 15:30:00,American History X,Drama,Tony Kaye,1998,119,16,6.50
PRO002161,2020-06-04 10:30:00,American History X,Drama,Tony Kaye,1998,119,16,7.50
PRO002162,2020-06-04 13:00:00,Breakfast at Tiffany's,Comedy,Blake Edwards,1961,115,12,7.50
PRO002163,2020-06-05 10:30:00,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,7.50
PRO002164,2020-06-05 13:30:00,Der Name der Rose,Crime,Jean-Jacques Annaud,1986,130,16,7.50
PRO002165,2020-06-05 16:30:00,Ferris Bueller's Day Off,Comedy,John Hughes,1986,103,0,7.50
PRO002166,2020-06-06 10:30:00,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,8.50
PRO002167,2020-06-06 13:30:00,Life of Brian,Comedy,Terry Jones,1979,94,16,6.50
PRO002168,2020-06-06 16:00:00,Freaks,Drama,Tod Browning,1932,64,12,7.00
PRO002169,2020-06-07 10:00:00,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,6.50
PRO002170,2020-06-07 13:00:00,Der Name der Rose,Crime,Jean-Jacques Annaud,1986,130,16,7.50
PRO002171,2020-06-07 16:00:00,Breakfast at Tiffany's,Comedy,Blake Edwards,1961,115,12,7.00
PRO002172,2020-06-07 19:00:00,City Lights,Comedy,Charles Chaplin,1931,87,0,8.50
PRO002173,2020-06-08 10:30:00,The Matrix,Action,Lana Wachowski,1999,136,12,7.00
PRO002174,2020-06-09 10:30:00,Life of Brian,Comedy,Terry Jones,1979,94,16,8.50
PRO002175,2020-06-09 13:00:00,Titanic,Drama,James Cameron,1997,194,12,8.50
PRO002176,2020-06-10 10:00:00,Bringing Up Baby,Comedy,Howard Hawks,1938,102,12,8.00
PRO002177,2020-06-10 12:30:00,Dances with Wolves,Adventure,Kevin Costner,1990,181,0,8.00
PRO002178,2020-06-11 10:00:00,Bringing Up Baby,Comedy,Howard Hawks,1938,102,12,7.50
PRO002179,2020-06-11 12:30:00,Freaks,Drama,Tod Browning,1932,64,12,8.50
PRO002180,2020-06-11 14:30:00,Andhadhun,Crime,Sriram Raghavan,2018,139,12,6.50
PRO002181,2020-06-12 10:30:00,Breakfast at Tiffany's,Comedy,Blake Edwards,1961,115,12,6.50
PRO002182,2020-06-13 10:30:00,Bringing Up Baby,Comedy,Howard Hawks,1938,102,12,8.50
PRO002183,2020-06-13 13:00:00,Der Name der Rose,Crime,Jean-Jacques Annaud,1986,130,16,6.50
PRO002184,2020-06-13 16:00:00,Billy Elliot,Drama,Stephen Daldry,2000,110,16,8.00
PRO002185,2020-06-14 10:30:00,Gandhi,Biography,Richard Attenborough,1982,191,0,8.00
PRO002186,2020-06-14 14:30:00,Bride of Frankenstein,Drama,James Whale,1935,75,12,8.50
PRO002187,2020-06-14 16:30:00,Life of Brian,Comedy,Terry Jones,1979,94,16,7.50
PRO002188,2020-06-15 10:30:00,Gladiator,Action,Ridley Scott,2000,155,12,8.00
PRO002189,2020-06-15 14:00:00,The Gentlemen,Action,Guy Ritchie,2019,113,12,8.00
PRO002190,2020-06-15 16:30:00,Gandhi,Biography,Richard Attenborough,1982,191,0,6.50
